mean,std_dev,skewness,kurtosis,ptp,rms,crest_factor,shape_factor,wpt_energy_0,wpt_energy_1,wpt_energy_2,wpt_energy_3,wpt_energy_4,wpt_energy_5,wpt_energy_6,wpt_energy_7,wpt_energy_8,wpt_energy_9,wpt_energy_10,wpt_energy_11,wpt_energy_12,wpt_energy_13,wpt_energy_14,wpt_energy_15,ar_coeff_1,ar_coeff_2,ar_coeff_3,ar_coeff_4
-0.008450948700499795,1.03431625096672,1.1534038375577342,5.452871653668867,6.797000000000001,1.0343507749055918,3.8913298057551917,2.3109050279799335,1089.7578772750599,4.765877522741147,0.06695236434657564,0.4454150356457588,0.00017055154643917306,0.0020335945650253756,0.00526112796454365,0.004606501670107659,2.6511355129879445e-06,1.102401129002567e-05,3.464677954548706e-06,4.643367375607744e-06,5.506063706295526e-06,8.203624007456407e-06,4.9418255250947525e-06,1.5003941628871872e-05,3.2140517652603897,-3.9022821817418816,2.158757801293831,-0.4707769681976437
-0.009458052160869918,1.0171714190528236,1.1274457013430184,5.499459529695537,6.73,1.0172153904107963,3.899862347141691,2.3239830019589025,1054.67411649658,4.793665982864295,0.06777767525694742,0.4451031809317276,0.000176033502586373,0.002015018098420613,0.0047904085644150775,0.004729221025401361,8.100734476144182e-06,3.1094355668605227e-06,9.215454009472631e-06,4.345366125261709e-06,4.97638771726785e-06,1.0462408816768313e-05,6.828934439481345e-06,1.1026692174079095e-05,3.1481791252420273,-3.712362962514227,1.9760426219287268,-0.4121208624494592
-0.005448920605999969,1.072954497666925,1.1638340915808514,5.260090184322186,6.91,1.0729683335492548,3.840747085577418,2.2918012341930982,1170.3788634911011,4.544265321931312,0.06894793722366403,0.4405015406316687,0.00015072323429014088,0.0018749731541866173,0.005475791502153298,0.00418191800914886,7.874017531670122e-06,3.741083478393194e-06,7.031903459977742e-06,2.7210909631736032e-06,1.6292991306651416e-05,8.347063960135846e-06,6.318335313712806e-06,1.0469283383855308e-05,3.1526754689451124,-3.7146166454953686,1.9674898929246183,-0.40578197988311615
-0.009196203492699999,1.0040608730481273,1.0687984731730464,5.573389351750622,6.729,1.0041029862244402,3.9059738431247295,2.351025903096087,1028.5261756310429,4.861799956965566,0.06734406774062464,0.4418252711780275,0.00018054681392425294,0.0020505892865202375,0.004665297187258383,0.004955862589141802,2.725523425205488e-06,6.311510863338504e-06,5.18047069813534e-06,5.21980494521623e-06,1.1172359688264205e-05,1.0593118923990683e-05,6.2358058555548255e-06,1.4002589660773547e-05,3.232673986219458,-3.961954670256466,2.2221910537804828,-0.4931759502745985
-0.008578130594399993,1.0058087237075997,1.0572465203128936,5.568183045709482,6.744,1.0058453027234402,3.901196326484225,2.355496387332697,1031.9903521286612,4.855596391119678,0.06739281086981706,0.441813437439029,0.00020038379837396052,0.002080262850676677,0.0046197073618209645,0.005004436837583673,5.642255522036558e-06,3.7752141592012356e-06,7.578555367028554e-06,5.460669167305811e-06,1.1320645700325256e-05,1.4281462211823917e-05,7.221045329793474e-06,1.1985689551170352e-05,3.1368195879732355,-3.682349724454795,1.9499864075201714,-0.40472939404217456
-0.006236590452599975,1.0245054882770244,1.045777994117054,5.609763069418397,6.9319999999999995,1.0245244704594547,3.923771579797679,2.3636480292455655,1070.1920888267337,4.941081015032298,0.06516868367372225,0.4475121578324248,0.00021152921125634457,0.0021159471683099675,0.005562535614521115,0.005254899144638509,6.011447183980645e-06,4.887406075056646e-06,7.133429960318655e-06,4.15018470161625e-06,1.8912115542785976e-05,1.1270701516143851e-05,5.409817659924927e-06,1.2811769517123027e-05,3.2426154399775013,-3.998949554302648,2.2664083607697734,-0.5103467301852262
-0.008192286146800126,0.9949542350613069,0.9928715317183945,5.73078523184104,6.835,0.9949879614441285,3.943766308791064,2.389515223101943,1010.9036783968596,5.021149848639848,0.0658457842114862,0.4442647119930162,0.00022814210775088864,0.0021654807289893706,0.004896693977923961,0.00559513367555745,6.314318484566009e-06,6.074868976013917e-06,5.562362174970004e-06,4.04336697386464e-06,1.4085758944248662e-05,1.749836769321745e-05,6.07748481316527e-06,1.347227972337982e-05,3.250033342884217,-4.021203035014796,2.2885580490890334,-0.5176720635266996
-0.008235432064799994,1.0575620935918058,1.2183819342454396,5.363464378574195,6.834,1.0575941585237578,3.8757778368572975,2.278475118207534,1138.1518527885155,4.67621014470337,0.06695032059675506,0.4424609729412202,0.0001513310243241939,0.0019061067010693123,0.005746077563281637,0.00446397483475586,3.84996325245823e-06,3.893827012773242e-06,5.884092413696638e-06,4.741062647361054e-06,1.911522461839886e-05,1.0034909143737079e-05,6.925164069281631e-06,1.4368899325258942e-05,3.179319791049597,-3.796049884227891,2.0504433362345225,-0.43395170493572977
-0.006149033016199987,1.0356761957840526,1.0894861843724177,5.608966299301429,6.992,1.0356944496910094,3.939385792029004,2.347173688603729,1093.6546630681005,5.011947296281072,0.06316369586701472,0.4472794566675287,0.00023299226382387194,0.002185335888907114,0.006417298955630205,0.005806989549874809,4.013247932917298e-06,5.784790102458169e-06,6.355255430189923e-06,3.618688189084522e-06,2.265820610032644e-05,1.5161355324182552e-05,6.488022776423451e-06,1.4188692799525924e-05,3.261888190597756,-4.059018609377908,2.3288565275697444,-0.5319979190760442
-0.009343078157200068,1.0119694287044525,1.1045102704900058,5.512443392861906,6.718,1.0120125580949522,3.8971848406905405,2.333520581730939,1044.0605154197006,4.779359927831294,0.06804394577545465,0.442855763682268,0.0001627050542697716,0.0020023747172267133,0.004630292330044009,0.004623358480014109,3.203816514526484e-06,7.219808936514298e-06,4.245618115361832e-06,4.361691759606653e-06,6.312340448135451e-06,1.0714888703854088e-05,4.751773790693823e-06,1.405937179824833e-05,3.221369375951819,-3.924544864224117,2.181287964874672,-0.4783695692218606
